Designator,Mid X,Mid Y,Rotation,Layer
C1,3.25,36.05,180.0,top
C10,35.25,15.5,270.0,top
C11,35.25,11.25,90.0,top
C12,61.75,57.98,90.0,top
C13,62.75,58.0,90.0,top
C14,60.25,58.5,90.0,top
C15,67.25,52.5,180.0,top
C16,73.75,52.5,180.0,top
C17,77.5,63.25,270.0,top
C18,42.500003,37.649999,90.0,top
C19,66.75,67.0,0.0,top
C2,62.5,60.5,180.0,top
C20,63.0,64.0,90.0,top
C22,103.8,20.1125,90.0,top
C23,98.75,20.0875,90.0,top
C24,93.75,20.1125,90.0,top
C25,14.249999,34.55,270.0,top
C26,12.75,34.05,270.0,top
C27,19.000002,37.5,90.0,top
C28,3.75,34.05,270.0,top
C29,13.25,31.05,90.0,top
C3,71.75,52.5,180.0,top
C30,15.25,31.05,90.0,top
C31,17.25,31.05,90.0,top
C32,19.25,31.05,90.0,top
C33,89.73,59.75,180.0,top
C34,37.75,34.699999,270.0,top
C35,36.250001,34.199999,270.0,top
C36,94.0,10.75,90.0,top
C37,26.750001,36.199999,180.0,top
C38,27.250001,34.199999,270.0,top
C39,36.750001,31.199999,90.0,top
C4,55.5,63.25,270.0,top
C40,37.23,54.440001,90.0,top
C41,38.750001,31.199999,90.0,top
C42,44.25,53.375,270.0,top
C43,89.75,62.75,180.0,top
C44,89.73,60.75,180.0,top
C45,89.73,61.75,180.0,top
C46,88.7375,20.1,90.0,top
C47,40.750001,31.199999,90.0,top
C48,96.65,51.75,0.0,top
C49,42.750001,31.199999,90.0,top
C5,55.5,61.25,90.0,top
C50,96.65,52.75,0.0,top
C51,94.0,35.48,90.0,top
C53,97.45,49.7,0.0,top
C54,96.0,30.48,270.0,top
C55,82.5,30.98,270.0,top
C56,96.0,5.6948,270.0,top
C6,58.75,37.250001,180.0,top
C62,82.5,5.75,270.0,top
C63,104.5,39.48,180.0,top
C64,91.0,39.48,180.0,top
C65,104.5,14.25,180.0,top
C66,91.0,14.3052,180.0,top
C67,82.0,20.75,90.0,top
C68,83.5,20.75,90.0,top
C69,74.949999,20.25,0.0,top
C7,58.75,22.25,180.0,top
C70,74.949999,18.75,0.0,top
C71,74.949999,25.75,0.0,top
C72,74.949999,24.25,0.0,top
C8,20.0,15.5,270.0,top
C9,20.0,11.25,90.0,top
D1,106.2,18.59,180.0,top
D2,106.2,23.89,180.0,top
D4,39.73,53.44,180.0,top
J19,7.39,53.0675,0.0,top
J4,109.9,21.27,180.0,top
L1,8.0,29.55,0.0,top
L2,31.500001,29.699999,0.0,top
Q1,34.5,53.625,180.0,top
R1,68.5,67.5,90.0,top
R10,60.25,21.75,270.0,top
R11,26.0,18.749999,0.0,top
R12,28.0,18.75,0.0,top
R13,43.25,18.75,0.0,top
R14,41.25,18.75,0.0,top
R15,101.5,24.2625,270.0,top
R16,96.5,24.2625,270.0,top
R17,91.499999,24.2625,270.0,top
R18,86.5,24.262501,270.0,top
R19,33.75,24.490001,270.0,top
R2,29.000001,39.449999,270.0,top
R20,10.25,24.5,270.0,top
R21,20.0,7.75,270.0,top
R22,99.0,63.75,90.0,top
R23,35.25,7.75,270.0,top
R26,38.73,55.94,0.0,top
R3,5.5,39.3,270.0,top
R4,61.740001,37.250001,180.0,top
R5,60.25,36.750001,270.0,top
R6,7.0,38.8,0.0,top
R7,100.0,63.75,90.0,top
R8,61.75,22.25,180.0,top
R9,30.500001,38.949999,0.0,top
SW1,60.0,42.5,270.0,bottom
SW2,60.0,27.5,270.0,bottom
SW3,25.2925,64.8325,180.0,top
U1,89.5,57.5,0.0,top
U10,88.0,32.9001,180.0,top
U11,91.5,20.75,90.0,top
U12,86.5,20.75,90.0,top
U13,31.750001,35.589999,180.0,top
U15,8.25,35.44,180.0,top
U17,90.440001,48.0,0.0,top
U19,94.25,60.25,270.0,top
U2,101.5,32.9001,180.0,top
U20,105.68,61.2,0.0,top
U21,88.0,7.9001,180.0,top
U3,101.5,7.9001,180.0,top
U4,31.05,35.0,270.0,bottom
U5,70.25,59.75,270.0,top
U6,24.75,13.75,90.0,top
U7,40.0,13.75,90.0,top
U8,101.5,20.75,90.0,top
U9,96.5,20.75,90.0,top
Y1,57.5,62.25,90.0,top
